mapping-key,mapping-value
city,headquarters
headquarter,headquarters
headquarters,headquarters
HQ,headquarters
main office,headquarters
email,email
gender,gender
How much money,balance
how much,balance
money,balance
cash,balance
english website,english-website
english mobile app,english-mobile-app
residents,allowed-residents
free accounts,free-accounts
free worldwide withdrawals,free-worldwide-withdrawals
english customer service,english-customer-service
english customer support,english-customer-service
category,category
execution date,execution-date
amount,amount
reference,reference
signed,sign-date
balance,balance
account type,account-type
opened,opening-date
account-number,account-number
account number,account-number
name,name
country,country
email,email
e mail,email
e-mail,email
last name,last-name
first name,first-name
gender,gender
phone-number,phone-number
phone number,phone-number
female,gender
male,gender
name on card,name-on-card
expiry date,expiry date
expiration,expiry date
created,created-date
card number,card-number
card-number,card-number